Unit,PO/Contract,PO_ID,Item description,Vendor Name,PO Date,Award Process,Item,Total Value
NYCTA,Contract,0600000000000000000007289,"BLOCK, TIE TROPICAL HARDWOOD, 5"" X 7"" X 34"". SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. DELIVERY TO STOREROOMS 28, 62 AND 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",2/26/2014,Competitive Bid,66-08-0415,"$89,227.20"
NYCTA,Contract,0600000000000000000007290,"TIE, 5"" X 7"" X 9', TROPICAL HARDWOOD, SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. SHIPMENTS SHALL BE ACCOMPANIED BY FOREST STEWARDSHIP","WILLIAM G. MOORE & SON, INC. OF DELWARE",2/26/2014,Competitive Bid,66-65-0320,"$418,677.00"
NYCTA,Contract,0600000000000000000007301,"TIE, 5""X 8"" X 9'-6"", TROPICAL HARDWOOD, SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. SHIPMENTS SHALL BE ACCOMPANIED BY FOREST STEWARDSHIP","WILLIAM G. MOORE & SON, INC. OF DELWARE",2/27/2014,Competitive Bid,66-65-0352,"$258,835.50"
NYCTA,PO,6030121313,"BLOCK, TIE TROPICAL HARDWOOD, 5"" X 7"" X 24"". SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE, AND POWER DISTRIBUTION MATERIAL SECTION 80. DELIVERY TO STOREROOMS 28, 62 AND 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",3/25/2014,,66-08-0410,"$16,022.16"
NYCTA,Contract,0600000000000000000008164,"TIE, 6"" X 8"" X 10', TROPICAL HARDWOOD, SHALL CONFORM TO NYCTA STANDARD SPECIFICATION FOR TRACK AND STRUCTURES MATERIALS SECTION 80. NOTE: DELIVERIES TO STOREROOM #28, 62, 67 & 69 SHALL BE MADE IN OPEN TOP EQUIPMENT ON TUESDAYS,","WILLIAM G. MOORE & SON, INC. OF DELWARE",6/5/2014,Competitive Bid,66-65-1900,"$71,222.80"
NYCTA,Contract,0600000000000000000008165,"TIE, TROPICAL HARDWOOD, 6"" X 8"" X 14'-0"", SHALL CONFORM TO NYCTA STANDARD SPECIFICATION FOR TRACK AND STRUCTURES MATERIALS SECTION 80. DELIVERIES TO STOREROOM #28, 62, 67 & 69 SHALL BE MADE IN OPEN TOP EQUIPMENT ON TUESDAYS,","WILLIAM G. MOORE & SON, INC. OF DELWARE",6/5/2014,Discretionary Bid,66-65-1920,"$82,794.60"
NYCTA,Contract,0600000000000000000008166,"BLOCK, TIE TROPICAL HARDWOOD, 5"" X 8"" X 34"". SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. DELIVERY TO STOREROOMS 28, 62 AND 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",6/5/2014,Discretionary Bid,66-08-0515,"$95,388.00"
NYCTA,Contract,0600000000000000000008426,"TIE, 6"" X 8"" X 16', TROPICAL HARDWARE, ASHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE, AND POWER DISTRIBUTION METERIALS SECTION 80. DELIVERY TO STOREROOMS #28, 62, & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",7/10/2014,Discretionary Bid,66-65-1930,"$36,863.28"
NYCTA,Contract,0600000000000000000008427,"TIE, 6"" X 8"" X 11', TROPICAL HARDWOOD, SHALL CONFORM TO NYCTA STANDARD SPECIFICATION FOR TRACK, INFRASTRUCTURE, AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS #28, 62, & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",7/10/2014,Discretionary Bid,66-65-1905,"$29,186.64"
NYCTA,Contract,0600000000000000000008428,"TIE, 6"" X 8"" X 12'-0"", TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE, AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS #28, 62, & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",7/10/2014,Discretionary Bid,66-65-1910,"$30,576.96"
